category,source,photo,model,encoder,device,width,height,inference_time_sec,depth_min,depth_max,depth_mean,depth_std,depth_p05,depth_p50,depth_p95,depth_range,depth_map,comparison
mirror,teammate,photos/mirror/mirror_01_bathroom_selfie.jpg,Base,vitb,cuda,2880,3840,0.203176,3.072360,13.802154,5.717586,1.789870,3.768420,5.422982,10.040858,10.729794,results/base/depth_maps/mirror_mirror_01_bathroom_selfie_base.png,results/base/comparisons/mirror_mirror_01_bathroom_selfie_base.png
glass_window,teammate,photos/glass_window/glass_01_handheld_clear_cup.jpg,Base,vitb,cuda,2880,3840,0.201434,0.729197,9.273436,4.872318,2.058687,1.700877,4.707037,8.228938,8.544238,results/base/depth_maps/glass_window_glass_01_handheld_clear_cup_base.png,results/base/comparisons/glass_window_glass_01_handheld_clear_cup_base.png
glass_window,teammate,photos/glass_window/glass_02_table_cup_chair.jpg,Base,vitb,cuda,2880,3840,0.204517,0.164420,12.754707,3.526920,3.631052,0.437857,1.991335,10.844308,12.590288,results/base/depth_maps/glass_window_glass_02_table_cup_chair_base.png,results/base/comparisons/glass_window_glass_02_table_cup_chair_base.png
glass_window,teammate,photos/glass_window/glass_03_balcony_glass_city.jpg,Base,vitb,cuda,2880,3840,0.202903,0.000000,10.154185,5.975512,2.560355,0.000000,6.669711,9.020994,10.154185,results/base/depth_maps/glass_window_glass_03_balcony_glass_city_base.png,results/base/comparisons/glass_window_glass_03_balcony_glass_city_base.png
glass_window,teammate,photos/glass_window/glass_04_window_cup_vase.jpg,Base,vitb,cuda,2880,3840,0.251360,0.000000,10.588539,3.857460,4.010668,0.000000,1.623825,9.648517,10.588539,results/base/depth_maps/glass_window_glass_04_window_cup_vase_base.png,results/base/comparisons/glass_window_glass_04_window_cup_vase_base.png
shiny_metal,teammate,photos/shiny_metal/shiny_metal_01_kitchen_counter.jpg,Base,vitb,cuda,2880,3840,0.213068,0.000000,16.354527,5.358280,5.111719,0.113366,2.886201,15.179674,16.354527,results/base/depth_maps/shiny_metal_shiny_metal_01_kitchen_counter_base.png,results/base/comparisons/shiny_metal_shiny_metal_01_kitchen_counter_base.png
shiny_metal,teammate,photos/shiny_metal/shiny_metal_02_reflective_counter_cup.jpg,Base,vitb,cuda,2880,3840,0.266898,0.000000,22.563160,6.444649,6.544782,0.075335,4.523343,19.673416,22.563160,results/base/depth_maps/shiny_metal_shiny_metal_02_reflective_counter_cup_base.png,results/base/comparisons/shiny_metal_shiny_metal_02_reflective_counter_cup_base.png
plain_wall,teammate,photos/plain_wall/plain_wall_01_wall_corner.jpg,Base,vitb,cuda,2880,3840,0.211655,1.812696,10.290707,3.865286,1.547305,2.247621,3.455714,7.563681,8.478011,results/base/depth_maps/plain_wall_plain_wall_01_wall_corner_base.png,results/base/comparisons/plain_wall_plain_wall_01_wall_corner_base.png
plain_wall,teammate,photos/plain_wall/plain_wall_02_study_room_wall.jpg,Base,vitb,cuda,2880,3840,0.268014,0.000000,13.911076,10.124080,3.005034,0.393731,10.849162,12.726767,13.911076,results/base/depth_maps/plain_wall_plain_wall_02_study_room_wall_base.png,results/base/comparisons/plain_wall_plain_wall_02_study_room_wall_base.png
very_close_object,teammate,photos/very_close_object/very_close_01_glass_on_metal_table.jpg,Base,vitb,cuda,2880,3840,0.240075,0.000000,16.142145,5.109495,5.259804,0.000000,2.683305,14.170152,16.142145,results/base/depth_maps/very_close_object_very_close_01_glass_on_metal_table_base.png,results/base/comparisons/very_close_object_very_close_01_glass_on_metal_table_base.png
very_close_object,teammate,photos/very_close_object/very_close_02_hand_object_car_window.jpg,Base,vitb,cuda,2880,3840,0.222275,0.000000,14.806265,3.543130,3.855315,0.000000,0.763655,9.856126,14.806265,results/base/depth_maps/very_close_object_very_close_02_hand_object_car_window_base.png,results/base/comparisons/very_close_object_very_close_02_hand_object_car_window_base.png
asaken,asaken,photos/asaken/IMG-20260623-WA0011.jpeg,Large,vitl,cuda,3840,2160,0.591331,5.856241,589.829651,229.659119,148.728973,37.019268,214.527344,537.403833,583.973410,results/large/depth_maps/asaken_IMG-20260623-WA0011_large.png,results/large/comparisons/asaken_IMG-20260623-WA0011_large.png
asaken,asaken,photos/asaken/IMG-20260623-WA0014.jpeg,Large,vitl,cuda,3840,2160,0.553898,10.031090,498.399536,231.799042,135.265808,37.371702,228.946579,462.095612,488.368446,results/large/depth_maps/asaken_IMG-20260623-WA0014_large.png,results/large/comparisons/asaken_IMG-20260623-WA0014_large.png
asaken,asaken,photos/asaken/IMG_20260623_154720.jpg,Large,vitl,cuda,3000,4000,0.424330,0.000000,491.019989,164.403931,147.341156,0.000000,115.071045,466.422609,491.019989,results/large/depth_maps/asaken_IMG_20260623_154720_large.png,results/large/comparisons/asaken_IMG_20260623_154720_large.png
asaken,asaken,photos/asaken/IMG_20260623_171156.jpg,Large,vitl,cuda,3000,4000,0.417576,0.000000,560.578796,259.354919,131.457474,44.884945,262.383789,491.435699,560.578796,results/large/depth_maps/asaken_IMG_20260623_171156_large.png,results/large/comparisons/asaken_IMG_20260623_171156_large.png
asaken,asaken,photos/asaken/IMG_20260623_172846.jpg,Large,vitl,cuda,4000,3000,0.416606,0.000000,636.302856,238.252838,176.700607,20.203331,230.293373,573.247626,636.302856,results/large/depth_maps/asaken_IMG_20260623_172846_large.png,results/large/comparisons/asaken_IMG_20260623_172846_large.png
asaken,asaken,photos/asaken/IMG_20260623_173049.jpg,Large,vitl,cuda,3000,4000,0.415659,0.000000,957.771545,207.365250,180.367294,48.935324,156.597389,648.997839,957.771545,results/large/depth_maps/asaken_IMG_20260623_173049_large.png,results/large/comparisons/asaken_IMG_20260623_173049_large.png
asaken,asaken,photos/asaken/IMG_20260623_173357.jpg,Large,vitl,cuda,3000,4000,0.416161,6.175583,535.913391,253.041031,138.315781,19.675308,264.920959,465.670412,529.737808,results/large/depth_maps/asaken_IMG_20260623_173357_large.png,results/large/comparisons/asaken_IMG_20260623_173357_large.png
